GeneSymbol	log2FC	p_value_or_padj	Dataset	Comparison	Direction	In_CTD_marker	In_CTD_therapeutic	In_CTD_inferred	In_GeneCards_AD	Species
CD180	4.34	8.63E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CD1E	2.28	3.20E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
CD209	2.06	5.50E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
CD300C	2.21	5.50E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
CD36	14.67	1.40E-12	PRJNA1148493	Canine_DGEs	Up	yes	yes	yes	no	Canine
CD3D	2.9	1.50E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
CD48	2.08	3.20E-06	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
CD48	2.75	0.00559	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CD53	3.62	0.00012	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CD68	3.8	6.96E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CD74	2.29	2.60E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
CD74	2.82	9.72E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CD86	4.34	1.58E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	yes	yes	Canine
CDA	2.12	3.30E-05	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
CDA	2.94	0.000572	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CDH9	-3.44	0.000374	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
CDO1	-2.03	1.30E-06	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
CHI3L1	3.65	4.80E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
CHRDL1	3.3	1.58E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
CHRNB4	-2.17	3.75E-05	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
CKM	-3.51	0.094	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
CLDN11	5.45	5.61E-12	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
