GeneSymbol	log2FC	p_value_or_padj	Dataset	Comparison	Direction	In_CTD_marker	In_CTD_therapeutic	In_CTD_inferred	In_GeneCards_AD	Species
PPM1J	-2.73	4.70E-08	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
PRSS36	2.07	0.0078	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
PSMB9	-2	5.00E-05	PRJEB38104	Canine_DGEs	Down	yes	yes	no	yes	Canine
PTPRC	3.63	6.09E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
PTX3	2.08	0.0024	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
PYCARD	3.37	0.000545	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
RAC2	2.34	8.20E-07	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
RGS1	2.1	2.10E-09	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
RGS1	2.13	1.70E-05	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
RGS18	5.06	2.36E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
RGS4	2.32	0.039	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
RTEL1	2.28	8.70E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
S100A12	3.12	3.70E-05	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
S100A12	2.31	0.014	GSE39278L_NL	Canine_DGEs	Up	yes	yes	no	yes	Canine
S100A12	3.32	0.0093	GSE39278_L	Canine_DGEs	Up	yes	yes	no	yes	Canine
S100A12	-3.3	5.00E-05	PRJEB38104	Canine_DGEs	Down	yes	yes	no	yes	Canine
S100A8	4.95	1.20E-09	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
S100A8	2.6	3.90E-06	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
S100A8	2.41	0.0082	GSE39278_L	Canine_DGEs	Up	yes	yes	no	yes	Canine
S100A8	-3.2	5.00E-05	PRJEB38104	Canine_DGEs	Down	yes	yes	no	yes	Canine
S100A9	5.22	7.40E-09	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
S100A9	4.02	1.30E-06	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
S100A9	2.46	0.011	GSE39278L_NL	Canine_DGEs	Up	yes	yes	no	no	Canine
S100A9	3.65	0.0062	GSE39278_L	Canine_DGEs	Up	yes	yes	no	no	Canine
S100A9	-3.2	5.00E-05	PRJEB38104	Canine_DGEs	Down	yes	yes	no	no	Canine
S100P	2.45	4.90E-06	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
SAA1	3.12	2.00E-09	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
SAA1	2.2	1.40E-05	GSE74136_48	Canine_48h	Up	yes	yes	no	no	Canine
SAA2	4.12	2.00E-09	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
SAMSN1	2.59	1.10E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
SAMSN1	4.5	7.22E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
SASH3	2.79	0.00124	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
SDSL	4.92	1.50E-09	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
SELL	3.43	0.00013	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
SELP	2.4	6.90E-05	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
SELPLG	2.42	0.0013	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
SELPLG	2.76	0.00012	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
SEPTIN14	-3.49	0.000236	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
SERPINA3	4.8	2.30E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
SERPINB4	2.3	5.70E-09	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
SERPINB4	4	4.00E-08	GSE74136_48	Canine_48h	Up	yes	yes	no	yes	Canine
SERPINB4	2.7	0.018	GSE39278_L	Canine_DGEs	Up	yes	yes	no	yes	Canine
SERPING1	2.48	4.89E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
SLAMF1	2.14	3.30E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
SLC2A5	2.59	0.000472	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
SLC35F4	-2.36	0.00206	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
SLC38A5	3	0.000105	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
SPI1	3.61	9.81E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
SPP2	2.58	9.55E-08	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
SRGN	2.01	3.80E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
SRPX2	2.17	0.000327	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
STEAP4	3.1	4.20E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
SYNDIG1	2.11	7.10E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
TAGAP	3.62	7.99E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
TBX18	3.41	1.29E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
TBXAS1	5.38	9.81E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
TESPA1	2.33	4.50E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	yes	Canine
TFPI2	2.43	2.30E-06	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
TFPI2	15.3	7.93E-25	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
THBS2	2.9	9.40E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
THBS4	6.77	1.12E-10	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
TIFAB	3.06	1.20E-11	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
TIMP1	2.53	2.30E-06	GSE58442_24	Canine_24h	Up	yes	yes	yes	yes	Canine
TLR1	3.32	0.00012	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
TMEM182	-2.16	0.0011	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
TMIE	-3.34	1.68E-07	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
TNFAIP6	3.57	4.90E-06	GSE58442_24	Canine_24h	Up	yes	yes	yes	no	Canine
TNFAIP6	2.16	6.50E-05	GSE74136_48	Canine_48h	Up	yes	yes	yes	no	Canine
TNFSF9	2.56	3.60E-08	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
TNNC2	-3.71	0.076	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
TNNT3	-2.22	0.22	GSE74136_48	Canine_48h	Down	yes	yes	no	no	Canine
TPBGL	-2.84	5.08E-07	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
TRAT1	2.31	0.00032	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
TRIM34	2.57	0.000232	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
UPP1	2.23	1.40E-07	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
VIT	2.67	5.06E-06	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
VSIG4	5.6	3.83E-11	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
VSTM5	-2.55	2.15E-06	PRJNA1148493	Canine_DGEs	Down	yes	yes	no	no	Canine
VTN	3.56	1.04E-07	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
WFDC1	2.28	2.82E-05	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
XDH	5.25	5.34E-09	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	yes	Canine
XG	2.37	0.000189	PRJNA1148493	Canine_DGEs	Up	yes	yes	no	no	Canine
ZNF740	2.45	0.018	GSE58442_24	Canine_24h	Up	yes	yes	no	no	Canine
AADACL4	3.6	5.00E-05	PRJEB38104	Canine_DGEs	Up					
ADM5	3.43	2.82E-05	PRJNA1148493	Canine_DGEs	Up					
C8orf74	2.6	7.90E-12	GSE58442_24	Canine_24h	Up					
CCL23	2.63	5.30E-06	GSE58442_24	Canine_24h	Up					
CLEC4M	2.06	5.50E-07	GSE74136_48	Canine_48h	Up					
DLA-79	-2	5.00E-05	PRJEB38104	Canine_DGEs	Down					
LOC100130520	2.33	7.30E-06	GSE74136_48	Canine_48h	Up					
LOC100688842	6.4	5.00E-05	PRJEB38104	Canine_DGEs	Up					
LOC100855989	2	0.00015	PRJEB38104	Canine_DGEs	Up					
LOC100856765	6.8	5.00E-05	PRJEB38104	Canine_DGEs	Up					
LOC102152183	-2.6	5.00E-05	PRJEB38104	Canine_DGEs	Down					
LOC481309	2.9	5.00E-05	PRJEB38104	Canine_DGEs	Up					
LOC483068	-2.1	5.00E-05	PRJEB38104	Canine_DGEs	Down					
MT-ND5	4.12	3.08E-09	PRJNA1148493	Canine_DGEs	Up					
MT-ND6	6.12	3.28E-12	PRJNA1148493	Canine_DGEs	Up					
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
