Gene_Symbol	log2FC	p-value
SERPINB4	4.36	1.50E-01
S100A7A	4.2	1.50E-01
KRT6C	3.42	1.90E-01
MMP12	3.29	2.00E-01
SERPINB3	3.24	1.40E-01
MMP1	3.13	2.30E-01
IGFL1	2.96	1.40E-01
S100A9	2.95	1.50E-01
S100A12	2.85	1.40E-01
TCN1	2.67	1.80E-01
AKR1B10	2.52	1.50E-01
PI3	2.5	1.50E-01
APOBEC3A	2.31	2.40E-01
PCSK1	2.29	2.10E-01
SELE	2.03	2.00E-01
SPRR3	2.02	2.30E-01
SPRR2C	2.01	2.00E-01
IL37	-2.02	2.00E-01
